,date,market
0,2013-08-01,190367
1,2013-08-02,183766
2,2013-08-03,211731
3,2013-08-04,226680
4,2013-08-05,227272
5,2013-08-06,239489
6,2013-08-07,246003
7,2013-08-08,252210
8,2013-08-09,233849
9,2013-08-10,211489
10,2013-08-11,209292
11,2013-08-12,212145
12,2013-08-13,213894
13,2013-08-14,221102
14,2013-08-15,213097
15,2013-08-16,224605
16,2013-08-17,214414
17,2013-08-18,209591
18,2013-08-19,252739
19,2013-08-20,240756
20,2013-08-21,244786
21,2013-08-22,238988
22,2013-08-23,255058
23,2013-08-24,248377
24,2013-08-25,253913
25,2013-08-26,248969
26,2013-08-27,227890
27,2013-08-28,251060
28,2013-08-29,228436
29,2013-08-30,213366
30,2013-08-31,181463
31,2013-09-01,161122
32,2013-09-02,164133
33,2013-09-03,164119
34,2013-09-04,166307
35,2013-09-05,194403
36,2013-09-06,181916
37,2013-09-07,163742
38,2013-09-08,173657
39,2013-09-09,170177
40,2013-09-10,171569
41,2013-09-11,170687
42,2013-09-12,184772
43,2013-09-13,168957
44,2013-09-14,155827
45,2013-09-15,151247
46,2013-09-16,150281
47,2013-09-17,155992
48,2013-09-18,162382
49,2013-09-19,161599
50,2013-09-20,187499
51,2013-09-21,184323
52,2013-09-22,172266
53,2013-09-23,177344
54,2013-09-24,180569
55,2013-09-25,162193
56,2013-09-26,154196
57,2013-09-27,160356
58,2013-09-28,169368
59,2013-09-29,174078
60,2013-09-30,166160
61,2013-10-01,138265
62,2013-10-02,147590
63,2013-10-03,136365
64,2013-10-04,142395
65,2013-10-05,148663
66,2013-10-06,147643
67,2013-10-07,163626
68,2013-10-08,157362
69,2013-10-09,165157
70,2013-10-10,195958
71,2013-10-11,184963
72,2013-10-12,179394
73,2013-10-13,182554
74,2013-10-14,190077
75,2013-10-15,190049
76,2013-10-16,168931
77,2013-10-17,157456
78,2013-10-18,157358
79,2013-10-19,148321
80,2013-10-20,109692
81,2013-10-21,118212
82,2013-10-22,118690
83,2013-10-23,111975
84,2013-10-24,109246
85,2013-10-25,133199
86,2013-10-26,141715
87,2013-10-27,138441
88,2013-10-28,124495
89,2013-10-29,121548
90,2013-10-30,123877
91,2013-10-31,120471
92,2013-11-01,133472
93,2013-11-02,126419
94,2013-11-03,126246
