id,name,date,market
0,BTC,2013+AC0-08+AC0-01,190367
1,BTC,2013+AC0-08+AC0-02,183766
2,BTC,2013+AC0-08+AC0-03,211731
3,BTC,2013+AC0-08+AC0-04,226680
4,BTC,2013+AC0-08+AC0-05,227272
5,BTC,2013+AC0-08+AC0-06,239489
6,BTC,2013+AC0-08+AC0-07,246003
7,BTC,2013+AC0-08+AC0-08,252210
8,BTC,2013+AC0-08+AC0-09,233849
9,BTC,2013+AC0-08+AC0-10,211489
10,BTC,2013+AC0-08+AC0-11,209292
11,BTC,2013+AC0-08+AC0-12,212145
12,BTC,2013+AC0-08+AC0-13,213894
13,BTC,2013+AC0-08+AC0-14,221102
14,BTC,2013+AC0-08+AC0-15,213097
15,BTC,2013+AC0-08+AC0-16,224605
16,BTC,2013+AC0-08+AC0-17,214414
17,BTC,2013+AC0-08+AC0-18,209591
18,BTC,2013+AC0-08+AC0-19,252739
19,BTC,2013+AC0-08+AC0-20,240756
20,BTC,2013+AC0-08+AC0-21,244786
21,BTC,2013+AC0-08+AC0-22,238988
22,BTC,2013+AC0-08+AC0-23,255058
23,BTC,2013+AC0-08+AC0-24,248377
24,BTC,2013+AC0-08+AC0-25,253913
25,BTC,2013+AC0-08+AC0-26,248969
26,BTC,2013+AC0-08+AC0-27,227890
27,BTC,2013+AC0-08+AC0-28,251060
28,BTC,2013+AC0-08+AC0-29,228436
29,BTC,2013+AC0-08+AC0-30,213366
30,BTC,2013+AC0-08+AC0-31,181463
31,BTC,2013+AC0-09+AC0-01,161122
32,BTC,2013+AC0-09+AC0-02,164133
33,BTC,2013+AC0-09+AC0-03,164119
34,BTC,2013+AC0-09+AC0-04,166307
35,BTC,2013+AC0-09+AC0-05,194403
36,BTC,2013+AC0-09+AC0-06,181916
37,BTC,2013+AC0-09+AC0-07,163742
38,BTC,2013+AC0-09+AC0-08,173657
39,BTC,2013+AC0-09+AC0-09,170177
40,BTC,2013+AC0-09+AC0-10,171569
41,BTC,2013+AC0-09+AC0-11,170687
42,BTC,2013+AC0-09+AC0-12,184772
43,BTC,2013+AC0-09+AC0-13,168957
44,BTC,2013+AC0-09+AC0-14,155827
45,BTC,2013+AC0-09+AC0-15,151247
46,BTC,2013+AC0-09+AC0-16,150281
47,BTC,2013+AC0-09+AC0-17,155992
48,BTC,2013+AC0-09+AC0-18,162382
49,BTC,2013+AC0-09+AC0-19,161599
50,BTC,2013+AC0-09+AC0-20,187499
51,BTC,2013+AC0-09+AC0-21,184323
52,BTC,2013+AC0-09+AC0-22,172266
53,BTC,2013+AC0-09+AC0-23,177344
54,BTC,2013+AC0-09+AC0-24,180569
55,BTC,2013+AC0-09+AC0-25,162193
56,BTC,2013+AC0-09+AC0-26,154196
57,BTC,2013+AC0-09+AC0-27,160356
58,BTC,2013+AC0-09+AC0-28,169368
59,BTC,2013+AC0-09+AC0-29,174078
60,BTC,2013+AC0-09+AC0-30,166160
61,BTC,2013+AC0-10+AC0-01,138265
62,BTC,2013+AC0-10+AC0-02,147590
63,BTC,2013+AC0-10+AC0-03,136365
64,BTC,2013+AC0-10+AC0-04,142395
65,BTC,2013+AC0-10+AC0-05,148663
66,BTC,2013+AC0-10+AC0-06,147643
67,BTC,2013+AC0-10+AC0-07,163626
68,BTC,2013+AC0-10+AC0-08,157362
69,BTC,2013+AC0-10+AC0-09,165157
70,BTC,2013+AC0-10+AC0-10,195958
71,BTC,2013+AC0-10+AC0-11,184963
72,BTC,2013+AC0-10+AC0-12,179394
73,BTC,2013+AC0-10+AC0-13,182554
74,BTC,2013+AC0-10+AC0-14,190077
75,BTC,2013+AC0-10+AC0-15,190049
76,BTC,2013+AC0-10+AC0-16,168931
77,BTC,2013+AC0-10+AC0-17,157456
78,BTC,2013+AC0-10+AC0-18,157358
79,BTC,2013+AC0-10+AC0-19,148321
80,BTC,2013+AC0-10+AC0-20,109692
81,BTC,2013+AC0-10+AC0-21,118212
82,BTC,2013+AC0-10+AC0-22,118690
83,BTC,2013+AC0-10+AC0-23,111975
84,BTC,2013+AC0-10+AC0-24,109246
85,BTC,2013+AC0-10+AC0-25,133199
86,BTC,2013+AC0-10+AC0-26,141715
87,BTC,2013+AC0-10+AC0-27,138441
88,BTC,2013+AC0-10+AC0-28,124495
89,BTC,2013+AC0-10+AC0-29,121548
90,BTC,2013+AC0-10+AC0-30,123877
91,BTC,2013+AC0-10+AC0-31,120471
